Timestamp,Informed Consent,What is your age group?,What is your gender?,Which of these best describes your family structure during most of your upbringing (until age 18)?,What is your birth order among your siblings?,What was the marital status of your parents during most of your upbringing?,How would you rate the quality of communication between you and your mother?,Perceived Parenting Style (Mother) [She respected my opinions and encouraged me to share them.],Perceived Parenting Style (Mother) [She had strict rules and expected me to obey without question.],Perceived Parenting Style (Mother) [She set clear rules for my behaviour but was also warm and loving.],Perceived Parenting Style (Mother) [She often seemed unaware of what was happening in my life.],Perceived Parenting Style (Mother) [She acted more like a friend than a parent.],Perceived Parenting Style (Mother) [The punishment for breaking a rule was often harsh.],Perceived Parenting Style (Mother) [She was rarely involved in my school or social life.],Perceived Parenting Style (Mother) [She allowed me to make my own decisions with little guidance.],"How much academic or career pressure (e.g., to pursue medicine, engineering) did you feel from your mother?",How would you rate the quality of communication between you and your father?,"How much academic or career pressure (e.g., to pursue medicine, engineering) did you feel from your father?",Perceived Parenting Style (Father) [He respected my opinions and encouraged me to share them.],Perceived Parenting Style (Father) [He had strict rules and expected me to obey without question.],Perceived Parenting Style (Father) [He set clear rules for my behaviour but was also warm and loving.],Perceived Parenting Style (Father) [He often seemed unaware of what was happening in my life.],Perceived Parenting Style (Father) [He acted more like a friend than a parent.],Perceived Parenting Style (Father) [The punishment for breaking a rule was often harsh.],Perceived Parenting Style (Father) [He was rarely involved in my school or social life.],Perceived Parenting Style (Father) [He allowed me to make my own decisions with little guidance.],"Overall, how would you describe the level of emotional support you received from your parents during your upbringing?","During your teenage years, what was your general level of stress related to family and academic expectations?","Thinking back, how satisfied were you with your relationship with your parents during your teenage years?","[Open-Ended Reflection] In a few sentences, could you describe one aspect of your relationship with your parents that you valued the most?","[Open-Ended Reflection] In a few sentences, could you describe a common challenge or point of conflict you faced with your parents?",Therapeutic Formulation (Formatted),Therapeutic Focus Labels,Therapeutic Domains
2025-09-22 02:11:37,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Low Pressure: She supported me in choosing my own academic and career path.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Low Pressure: He supported me in choosing my own academic and career path.,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,High,High,3,Always gave best advise. Listened to my problems and tired to solve them,Old school,[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-09-22 02:21:20,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Strongly Agree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,High Pressure: My career path felt strictly defined by her expectations.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,High Pressure: My career path felt strictly defined by his expectations.,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Low,Very High,1,"Here's a possible reflection:

One aspect of my relationship with my parents that I valued the most was the stability and security they provided through financial support and a home. Having my basic needs met allowed me to focus on my personal growth, education, and goals.","One common challenge I faced with my parents was feeling like they didn't fully understand me, which often led to conflicts. As the eldest, I took on a lot of responsibility for taking care of my siblings, which added to the tension. I sometimes felt like I was shouldering the burden of parenting my siblings while my parents were less involved, leading to frustration and misunderstandings.",[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-22 20:47:14,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents and siblings only),I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Moderate Pressure: She had strong preferences but was open to discussion.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Moderate Pressure: He had strong preferences but was open to discussion.,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Very Low,High,1,Trust,Infantalization/ controlling,[Parenting Style] Authoritarian Parenting,Authoritarian Parenting,Parenting Style
2025-09-23 09:00:19,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents and siblings only),I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Moderate Pressure: He had strong preferences but was open to discussion.,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,High,Moderate,4,,,[Attachment Profile] Anxious Attachment,Anxious Attachment,Attachment Profile
2025-09-23 10:40:29,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents and siblings only),I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Moderate Pressure: She had strong preferences but was open to discussion.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Moderate Pressure: He had strong preferences but was open to discussion.,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,High,Moderate,4,Freedom to explore the world as i want.,Where society and personal views contradicts it become difficult to take them in confidence,[Parenting Style] Detached / Emotionally Unavailable Parenting,Detached / Emotionally Unavailable Parenting,Parenting Style
2025-09-23 10:49:26,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Moderate Pressure: She had strong preferences but was open to discussion.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Moderate Pressure: He had strong preferences but was open to discussion.,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,High,High,5,,,[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-09-24 05:48:02,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents and siblings only),I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Low Pressure: She supported me in choosing my own academic and career path.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Moderate Pressure: He had strong preferences but was open to discussion.,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Very High,Very High,4,,,[Parenting Style] Detached / Emotionally Unavailable Parenting; [Parenting Style] Overprotective / Enmeshing Parenting; [Schema] Unrelenting Standards Schema,"Detached / Emotionally Unavailable Parenting, Overprotective / Enmeshing Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-24 06:48:22,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents and siblings only),I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Low Pressure: He supported me in choosing my own academic and career path.,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Neutral,Low,High,3,.,.,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-28 05:08:09,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am a middle child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Low Pressure: She supported me in choosing my own academic and career path.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Low Pressure: He supported me in choosing my own academic and career path.,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Very High,Low,5,,,[Attachment Profile] Anxious Attachment,Anxious Attachment,Attachment Profile
2025-09-28 05:12:24,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Low Pressure: She supported me in choosing my own academic and career path.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Low Pressure: He supported me in choosing my own academic and career path.,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Moderate,Low,1,They don't define me by my sins,"The physical abuse, and being the experimental eldest ",[Parenting Style] Authoritarian Parenting; [Parenting Style] Overprotective / Enmeshing Parenting,"Authoritarian Parenting, Overprotective / Enmeshing Parenting",Parenting Style
2025-09-28 05:14:57,"I Agree, and I wish to proceed with the survey.",Adolescent (13-19 years old),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am a middle child.,Intact Marriage (Parents were married and living together),Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Agree,Agree,High Pressure: My career path felt strictly defined by her expectations.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",High Pressure: My career path felt strictly defined by his expectations.,Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Very High,Very High,5,The trust,,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-28 05:21:35,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Moderate Pressure: She had strong preferences but was open to discussion.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",High Pressure: My career path felt strictly defined by his expectations.,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Low,High,3,Support by my father,Career choice,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-28 05:22:48,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Moderate Pressure: She had strong preferences but was open to discussion.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Moderate Pressure: He had strong preferences but was open to discussion.,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,High,Moderate,5,The unconditional love and nurturing I received from both of them.,"Some view points collided with each other, but they were not serious enough.",[Parenting Style] Overprotective / Enmeshing Parenting,Overprotective / Enmeshing Parenting,Parenting Style
2025-09-28 05:42:32,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Agree,Low Pressure: She supported me in choosing my own academic and career path.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Low Pressure: He supported me in choosing my own academic and career path.,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,High,Moderate,5,They were very loving and always respected my opinion. They always let me make a decision for myself and were never against it.,Well there were none. There was sometimes a conflict of interest but it never effected me,[Emotional Processing] Conflict Avoidance Conditioning,Conflict Avoidance Conditioning,Emotional Processing
2025-09-28 06:35:19,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Moderate Pressure: She had strong preferences but was open to discussion.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Moderate Pressure: He had strong preferences but was open to discussion.,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Moderate,Moderate,5,.,.,[Parenting Style] Detached / Emotionally Unavailable Parenting,Detached / Emotionally Unavailable Parenting,Parenting Style
2025-09-28 07:02:17,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Low Pressure: He supported me in choosing my own academic and career path.,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Moderate,High,5,Their time is precious with me,Earning money,[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-09-28 07:14:30,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Other,I am a middle child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Moderate Pressure: She had strong preferences but was open to discussion.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Moderate Pressure: He had strong preferences but was open to discussion.,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,High,Moderate,4,,,[Parenting Style] Detached / Emotionally Unavailable Parenting,Detached / Emotionally Unavailable Parenting,Parenting Style
2025-09-28 07:17:09,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Low Pressure: She supported me in choosing my own academic and career path.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Low Pressure: He supported me in choosing my own academic and career path.,Neutral,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Very High,High,4,"Let choose my own path, in religious, academic and social aspects",Financial decisions,[Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-28 07:43:45,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am a middle child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Agree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Low Pressure: She supported me in choosing my own academic and career path.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Low Pressure: He supported me in choosing my own academic and career path.,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Moderate,High,5,Friendly,At some point doesn't want to mention,[Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-28 08:59:08,"I Agree, and I wish to proceed with the survey.",Adolescent (13-19 years old),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Moderate Pressure: She had strong preferences but was open to discussion.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Moderate Pressure: He had strong preferences but was open to discussion.,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Moderate,Moderate,1,,,[Parenting Style] Detached / Emotionally Unavailable Parenting,Detached / Emotionally Unavailable Parenting,Parenting Style
2025-09-28 09:19:17,"I Agree, and I wish to proceed with the survey.",Adolescent (13-19 years old),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Low Pressure: She supported me in choosing my own academic and career path.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Low Pressure: He supported me in choosing my own academic and career path.,Strongly Agree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Very High,Low,5,"Umm parents presence is like a felling that can't be described, they sometimes became strict for our own bright future bcz they worry about us a lot, they mostly contribute there half portion of life for us, so, I would say they are indeed the angles from Allah, which are made for us, and we shall always to thankful to Allah for giving us parents,who are always with us whether in time of good or bad. So, I wish we could life as possible as much time together in there life. ","Nothing special I would say, if you are communicative, your parents also understand you, there strictness regarding our studies is only for our future and well being, so that after them, his child could life happily, and he wouldn't have to face any hardships. ",[Attachment Profile] Anxious Attachment,Anxious Attachment,Attachment Profile
2025-09-28 10:37:58,I Do Not Agree.,Adolescent (13-19 years old),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Agree,Moderate Pressure: She had strong preferences but was open to discussion.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Moderate Pressure: He had strong preferences but was open to discussion.,Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Agree,High,Very High,4,Supportive and understanding in almost a lot of things if not all,"There's a communication barrier between parents and children in almost every brown family, and you cannot completely open up to them, but even if you want to, you have to stay in extreme boundaries, and still there's a fear in you somewhere....",[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-09-28 10:58:53,"I Agree, and I wish to proceed with the survey.",Adolescent (13-19 years old),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Low Pressure: She supported me in choosing my own academic and career path.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Low Pressure: He supported me in choosing my own academic and career path.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Very High,Very High,5,,,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-28 11:11:52,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Low Pressure: She supported me in choosing my own academic and career path.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Low Pressure: He supported me in choosing my own academic and career path.,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Very High,Low,5,Them allowing me to make my own decisions,Cultural prespective conflicts.,[Emotional Processing] Conflict Avoidance Conditioning,Conflict Avoidance Conditioning,Emotional Processing
2025-09-28 12:16:14,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Agree,Low Pressure: She supported me in choosing my own academic and career path.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",High Pressure: My career path felt strictly defined by his expectations.,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Moderate,Very High,3,Communication,,[Parenting Style] Authoritarian Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-29 04:27:28,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Neutral,Agree,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Moderate Pressure: She had strong preferences but was open to discussion.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Moderate Pressure: He had strong preferences but was open to discussion.,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Low,Very High,2,,Understanding. Trust,[Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-29 05:29:28,"I Agree, and I wish to proceed with the survey.",Adolescent (13-19 years old),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am an only child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Agree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Low Pressure: She supported me in choosing my own academic and career path.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Low Pressure: He supported me in choosing my own academic and career path.,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Moderate,High,4,,,[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-09-30 01:06:05,"I Agree, and I wish to proceed with the survey.",Adolescent (13-19 years old),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am a middle child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Low Pressure: She supported me in choosing my own academic and career path.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Moderate Pressure: He had strong preferences but was open to discussion.,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Low,Moderate,3,My mother always supported me in many ways but sometimes she became obstinate and didn't listen no matter what good thing we are trying to tell her to improve herself...same thing is with my father and I have given up on him so no comments,They always argue...don't understand...like if anybody trys to prove them something or make them understand or realize something...they will do whatever they think what's right no matter how anybody persuades them,[Parenting Style] Detached / Emotionally Unavailable Parenting,Detached / Emotionally Unavailable Parenting,Parenting Style
2025-10-02 00:02:49,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Single-Parent Family: (Lived with only one parent),I am a middle child.,Separated / Divorced,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,High Pressure: My career path felt strictly defined by his expectations.,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,High,Moderate,4,Openness to talk,social life,[Parenting Style] Detached / Emotionally Unavailable Parenting,Detached / Emotionally Unavailable Parenting,Parenting Style
2025-10-02 00:14:15,"I Agree, and I wish to proceed with the survey.",Adolescent (13-19 years old),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am a middle child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Low Pressure: He supported me in choosing my own academic and career path.,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very High,Low,5,"Perfect, I'd say. More people deserve that for their mental sanity","Can't recall one at the time being, sorry",[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-10-27 04:01:23,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am a middle child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,High Pressure: My career path felt strictly defined by his expectations.,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,High,Very High,2,"To listen my point of view, knowing my likes and dislikes , providing what was necessary ","Decision of freedom, less communication on decision making     ",[Parenting Style] Overprotective / Enmeshing Parenting; [Schema] Unrelenting Standards Schema,"Overprotective / Enmeshing Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
